"3d_viz_custom_consultants","accounting_custom_consultants","acoustics_custom_consultants","ae_fee_number","ae_sourced_cost_co_number","ae_sourced_number_co_number","arborist_custom_consultants","archeologist_custom_consultants","art_consultant1_custom_consultants","audiovisual_custom_consultants","aviation_custom_consultants","awards_received1_list_text","awards_submissions_list_text","bid_amount_number","bid_cost_number","bid_date_date","bid_estimate_number","builder_custom_consultants","builder_phase_engagement_option_design_phases","building_envelope_custom_consultants","business_management_custom_consultants","certifications_list_text","civil_custom_consultants","client_custom_consultants","cm_custom_consultants","code_consultant1_custom_consultants","companysubscribed_custom_companysubscriber","completion_date__actual__date","completion_date__anticipated__date","completion_date_date","construction_budget_number","construction_cost_at_start_of_construction_number","construction_cost_at_start_of_design_number","construction_cost_number","construction_materials_text","construction_start__actual__date","construction_start__anticipated__date","construction_testing_custom_consultants","consultant_cost_co_number","consultant_number_co_number","contract_award_date_date","cost_estimator3_custom_consultants","cost_number","costpersqft_number","date_of_occupancy_date","delivery_method_text","design_completion_date","design_custom_consultants","design_start_date","door_hardware_custom_consultants","electric_solar_meter__kbtu__list_number","electric_year_ending_date_list_date","electrical_custom_consultants","elevator_consultant_custom_consultants","environmental_custom_consultants","final_construction_cost_number","fire_protection1_custom_consultants","food_service_custom_consultants","geotech_custom_consultants","grade_level_text","graphic_design_custom_consultants","hazmat_custom_consultants","historic_preservation_custom_consultants","image_image","inspections_custom_consultants","interior_design_consultant_custom_consultants","internal_team_list_user","lab_planning_custom_consultants","land_survey_custom_consultants","landscape_custom_consultants","lighting_consultant_custom_consultants","location_geographic_address","location_text","mechanical_custom_consultants","mechanical_system_text","name_text","no__levels_floors_number","no__units_number","occupancy_number","owner_generated_cost_co_number","owner_generated_number_co_number","parking_design_custom_consultants","parking_space_number","permit_review_custom_consultants","phase_text","planning1_custom_consultants","plumbing_custom_consultants","pm_custom_consultants","prime_list_custom_consultants","principal_in_charge_user","program_text","project_description_text","project_id_text","project_images_list_image","project_imgs_files_list_file","project_imgs_names_list_text","project_narrative_text","project_number_number","project_order_number","project_publicity_list_text","project_status_option_project_status","project_survey_list_custom_survey","project_us_state_text","public_relations_custom_consultants","real_estate_custom_consultants","regioncounty_text","roofing_consultant_custom_consultants","scope_of_services_text","site_description_text","site_size_number","size_number","specifications_consultant_custom_consultants","specifications_custom_consultants","sq__ft___addition__number","sq__ft___reno__number","sq__ft__new__number","sq__ft__total_number","start_date_date","structural_custom_consultants","structural_system_text","sustainability_consultant_custom_consultants","sustainability_text","telecommunications_custom_consultants","total_cost_co_number","total_number_co_number","total_project_budget_number","total_project_cost_number","traffic_consultant_custom_consultants","type_list_text","unforeseen_cost_co_number","unforeseen_number_co_number","waterproofing_custom_consultants","Created Date","Modified Date","_id","Slug","Created By","Created By - email"
"","","","","","","","","","","","Kukulu Hale Honors 2020","","","","","","1734967668405x826547984413612200","","","","","","","","","1728659653678x113956400766583870","","","Mar 8, 2019 12:00 am","","","","","","","","","","","","","","","","","","","","","","","1730039943222x720852572887955100","","","","","","","","","","","","","","","","","","","","111 South King Street Honolulu, Hawai’I 96813","1730156264638x822999928689301900","","Bank of Hawaiʻi Ka Nuʻu Hoʻoulu Conference Center","2","","","","","","","","","","","","","","","","","","","","100 words
The land upon which Kamehameha and Princess Pauahi once resided and entertained is today the home of the Bank of Hawai‘i.  Ka Nu‘u Ho‘oulu is a place to continue the tradition of hospitality, gathering, and sharing of council.  The interconnected levels of staff and executive spaces also reemphasize the bank’s investment in and value of its 2,100-plus employees. The coral walls of the atrium wall honor the coral block that once formed the home of the Princess and her family the Pākīs, Hale‘ākala (Pink Home). 

500-1000 words
The land upon which Kamehameha and Princess Pauahi once resided and entertained is today the home of the Bank of Hawai‘i and its employees. The bank, inspired by the stories of the ali‘i who would host both dignitaries and the maka‘āinana, have created a new community space in the sky. Ka Nu‘u Ho‘oulu wiil become a place to continue the tradition of hospitality, gathering, and sharing of council. The interconnected levels of staff and executive spaces also reemphasize the bank’s investment in and value of its 2,100-plus employees. By removing vertical and horizontal barriers, the spaces encourage more personal and professional collisions and collaborations and creates an atmosphere of ‘ohana (family) and ‘lōkahi (unity).

Growth and inspiration are infused in the spaces and forms of Ka Nu‘u Ho‘oulu. Upon arrival, guests are presented with a lofty atrium and swooping grand stair to draw them upwards to the communal spaces at the summit. The organic forms of the stairs, niches, and café honor the roots and limbs of the tamarind trees that Princess Pauahi once held council beneath for visiting maka‘āinana. The coral walls of the central atrium wall honor the coral block that once formed the home of the Princess and her family the Pākīs, Hale‘ākala (Pink Home). The ‘inalua vines that veiled the home are found in the curved stanchions of the atrium.

The Center also opens up a multitude of walls, bathing the floors in light and views of Downtown Honolulu. Glass walls encourage “casual collisions” and interactions amongst executives, employees, clients, and community. A variety of informal and formal gathering spaces maximize flexibility and function. The Café anchors the makai edge with an overarching wooden wave. Complementing historic and contemporary artwork featuring ancient and modern Hawaiian life enliven the lānai-like landings and intermittent niches of the Center.

Designed to be ever-changing and flexible in its uses, Ka Nu‘u Ho‘oulu will continue to evolve, but always honor its core purpose of being a nurturing home for its employees, and a place of gathering for the community.","17124","","","","","","","","","","Renovation","","","32412","","","","","","","","1730156264636x736344256571418200","","","","","","","","","","Offices , Warehouses","","","","Dec 30, 2024 9:41 am","Dec 30, 2024 9:41 am","1735569695452x924727962094658100","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","1730082692730x352624750160522000","","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","1730082692730x352624750160522000","","","","","","","","","","","","","","","","","1734971967733x588352310635111200","","","Pāhoa, Hawaiʻi","1730082692730x352624750160522000","","Billy Kenoi Pāhoa Park Redevelopment Plan","","","","","","","","","","","1730082692730x352624750160522000","","","","","","","","","","100words
Phase 1 of the master plan keeps the existing facilities, except to expand the playground, demolish the dilapidated basketball courts, and replace the multi-purpose field that currently is often not usable due to drainage problems. Phase 1 also included the design and construction of various facilities: a covered play court facility for basketball and volleyball, a comfort station, and baseball fields. Future phase(s) includes an additional ball field, track and/or multi-purpose field, community facilities such as a performing arts center, amphitheater, and library. 

500-1000words","12104","","","","","","","","","","","17 acres","3092760","","","","","","","","","1730082692730x352624750160522000","","","","","","","","","","Park/Recreational , Sports Facilities , Arenas , Theaters","","","","Dec 30, 2024 9:38 am","Dec 30, 2024 9:38 am","1735569491635x730774669524481900","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","1732726177831x757375597477401000","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","1730082692723x377299236265733900","","","","","","","","","","","","","","","","","","","","777 WARD AVENUE HONOLULU, HAWAI‘I 96814","1730082692723x377299236265733900","","BLAISDELL CENTER REDEVELOPMENT CONCERT HALL IMPROVEMENTS","","","","","","","","","","","","","","","","Scope of Work: Interior renovation of the “back-of-house” spaces of the existing historic Blaisdell Concert Hall including but not limited to the following: 
Reconfiguration of Stage Left restrooms and laundry area 
Renovation and reconfiguration of the Stage Right dressing rooms and restrooms (various levels) 
Replacement and extension of mechanical system including rooftop equipment 
Partial power and IT/AV systems replacement and reconfiguration 
Replacement and upgrade of the existing fire alarm system (full building) 
Replacement and upgrade of existing fire sprinkler system 

These specifications are divided for convenience into titled divisions and sections as set forth in the TABLE OF CONTENTS preceding these specifications and shall not be considered an accurate or complete segregation of the several units of labor and materials. No responsibility, either direct or implied, is assumed by the City and County for omissions or duplications of the subject matter. The Contractor shall be held responsible for the complete work whenever or wherever the parts are described in one or more trade heads. Any mention in these sections or indication on the drawings of articles, materials, operations, or methods required that the Contractor furnish each item so mentioned or indicated, of the kind, type, or design and quality of each item so mentioned or indicated on the drawings, and that the Contractor furnish all labor, materials, equipment, incidentals, and supervision necessary to complete the work in accordance with the drawings and the true meaning and intent of these specifications, even though such mention of articles, materials, operations, methods, quality, qualifications, or conditions is not expressed in complete sentences. 

Where devices or items or parts thereof are referred to in the singular, it is intended that such references shall apply to as many such devices, items, or parts as are required to properly complete the work. 

Schedule of work included in these specifications sections are given for convenience and shall not be considered as a comprehensive list of items necessary to complete the work of any section. 

The Contractor shall employ the usual standard practice of coordinating the work covered in each section with the work of other sections. The necessary information and the items, accessories, anchors, connections, patterns, templates, etc., shall be delivered when required, in order to prevent any delay in the progress and completion of the work","","","","","","21103","","","","","","","","","","","","","","","","","","","","","1730155554352x145521819847869820","","","","","","","","","","Park/Recreational , Sports Facilities , Arenas , Theaters","","","","Dec 30, 2024 10:05 am","Dec 30, 2024 10:05 am","1735571157481x277753580911301400","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75-5660 Palani Rd. Kailua-Kona, HI 96740","","","BRE King Kamehameha","","","","","","","","","","","","","","","","","","","","","","22124","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hotel/Timeshare Resort","","","","Dec 30, 2024 10:09 am","Dec 30, 2024 10:09 am","1735571384819x904921664845505200","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","1732726177831x382304339095522940","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","1730155554352x196646730489982140","","","","","","","","","","","","","","","","","","","","91-3633 KAULUAKOKO ST., KAPOLEI, HI 96707","1730082692730x726526022655718100","","CNHA KŌHINA COMMERCIAL IMPROVEMENT UNITS 5001, 5002, 5003, 5004","","","","","","","","","","","","","","","","INTERIOR IMPROVEMENT TO UNITS 5001, 5002, 5003, 5004. PROPOSED USE WILL BE B2 BUSINESS.","","","","","","21120","","","","","","","","","","","","","3036","","","","","","","","","","","","","","","","","","Retail/Malls/Shopping Centers","","","","Dec 30, 2024 10:05 am","Dec 30, 2024 10:05 am","1735571157586x381319695036238500","","admin_user_arch-dash_test",""
"","","1730156561454x554511758673992240","","","","","","","","","","","","","","","1734967668405x992044920292003400","","","","","","1732726177833x154357285014538270","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","2440000","","","","","","","","","","1730156561454x554511758673992240","","","","","","","","","","","","","","","","","","","","220 South King St, Honolulu, HI 96813","1730156561454x554511758673992240","","CPB L22","","","","","","","","","","","","","","","","","","","","","Central Pacific Bank Plaza’s Executive Level interior renovation encompassed an 8,100 square foot reimagining to the entire penthouse level. The floor features a Lobby Lounge, Board Room, formal Gathering Space, 10 Executive private offices, large and small conference rooms, open work areas, sitting areas, and kitchenettes. Inspired by the story of CPB’s founders meeting together under a banyan tree at Ala Moana Beach Park, the architecture plays with visual references of the organic curves of a tree canopy and banyan roots as well as natural shorelines and water ripples. Most significantly, the design intends to evoke CPB’s values of being rooted in the community, a sheltering, welcoming and inspiring workplace.  
The pre-existing space was dark and cellular, opposing the Bank’s branding. The renovation creates a space that is bright and airy, reconfiguring walls to make four different lounge and sitting areas, better suited to the Bank’s internal and external hospitality. Light white oak doors and custom millwork replace dark wood elements. New lighting in all spaces is bright, modern, LED, both whimsical and sophisticated. Subtle textures and pattern referencing the design motif provide nuance and layers in the carpeting, wall finishes, and fabrics. Pops of color that align with the Bank’s brand are integrated throughout, again aligning with the Bank’s brand refresh and evocative of its core values. Furniture, artwork, interior design elements and finishes were carefully chosen to provide function and sophistication for a variety of Executive needs and requirements, contributing to the comprehensive design story.","22103","","","","","","","","","","","","","8100","","","","","","","","1730155554352x145521819847869820","","","","","","","","","","Offices , Warehouses","","","","Dec 30, 2024 10:05 am","Dec 30, 2024 10:05 am","1735571157667x540565192050698000","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DHHL Kapolei","","","","","","","","","","","","","","","","","","","","","","22126","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Multi Family Housing","","","","Dec 30, 2024 10:09 am","Dec 30, 2024 10:09 am","1735571384820x928198465613105300","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Dukes Koolina","","","","","","","","","","","","","","","","","","","","","","18115","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Restaurant","","","","Dec 30, 2024 9:41 am","Dec 30, 2024 9:41 am","1735569695549x468932028644549760","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","1734967668405x328093242366544400","","","","N/A","","1732726177824x609159331443562600","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","1730039943222x720852572887955100","","","","","","","","","","","","","","","","","","","","2335 Kalakaua Ave Honolulu, HI 96815","","","Duke's Waikīkī Retail","","","","","","","","","","","","","","","","","","","","","100words
Duke’s Waikīkī is located in the heart of Waikīkī and inspired by the Hawaiian legend himself, Duke Kahanamoku. The restaurant features a new, renovated entryway characterized by a custom wood curved wood screen emulating an ocean wave. The overall design highlights surf and the ocean through fabric patterns and textures, and new wall & floor finishes bring a lighter, more modern feel to the entry experience.

500-1000words","17138","","","","","","","","","","","","","1550","","","","","","","","","","","","","","","","","","Retail/Malls/Shopping Centers","","","","Dec 30, 2024 9:41 am","Dec 30, 2024 9:41 am","1735569695470x661169777763406200","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Edwin Moʻokini Library – UH Hilo","","","","","","","","","","","","","","","","","","","","","","21118","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Educational Facilities","","","","Dec 30, 2024 10:05 am","Dec 30, 2024 10:05 am","1735571157562x433071009206575040","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","1732726177833x157263345119631040","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","1730156561454x554511758673992240","","","","","","","","","","","","","","","","","","","","1 NORTH KANIKU DRIVE, WAIMEA, HI 96743","1730156561454x554511758673992240","","Fairmont Orchid Resort","","","","","","","","","","","","","","","","","","","","","","22110","","","","","","","","","","","","","","","","","","","","","1734971967735x707005621864573700","","","","","","","","","","Hotel/Timeshare Resort","","","","Dec 30, 2024 10:05 am","Dec 30, 2024 10:05 am","1735571157684x191484028740066300","","admin_user_arch-dash_test",""
"","","","","","","","","","","","Kukulu Hale Honors","","","","","","1734967668405x992044920292003400","","","","","","","","","1728659653678x113956400766583870","","","Dec 1, 2019 12:00 am","","","","","","","","","","","","","","","","","","","","","","","1730156428451x555527371574733760","","","","","","","","","","","","","","","","","","","","Moanalua Road, Aiea, HI 96701","1730155554347x744656731694645500","","First Hawaiian Bank Pearlridge Renovation","2","","","","","","","","","","","","","","","","","","","","100words
The redesign of the Pearlridge FHB branch included a refresh of two floors. On the first floor are a VTM vestibule, the main teller lobby, a media center, concierge, waiting area, office spaces, restrooms and conference rooms. On the second floor are additional meeting spaces, a training room, restrooms and an employee break room.

500-1000words
Originally built in 1980, the Pearlridge branch of First Hawaiian Bank comprises 50,000 square feet over three stories and basement parking. The 2019 renovation called for the modernization of 18,000 square feet of the main public and employee areas on the first and second levels. Banking has evolved since the 1980’s and this evolution necessitates rethinking why people visit banks and how they bank. The client expressed from the beginning of the design process that the new First Hawaiian Bank at Pearlridge should provide a hospitality experience to customers. The existing teller line has thus been transformed into an open, active, and lightfilled lobby with service pods that draw customers in through the use of patterns and textures. Existing work areas at the entrance have been transformed into a welcoming lounge, and a variety of visually active, glass-enclosed meeting spaces with varying levels of privacy and uses are located throughout the first and second floors. The new branch also features a new ATM vestibule and provisions for a future media center.

A sense of history and place are infused into the renovation, giving the bank a fresh identity. Located in the ahupua‘a of Kalauola, the bank celebrates the wai (water) of the area. In Hawaiian culture, wai is not only a natural resource that sustains all life, it is also the source of waiwai (wealth). The rich and vibrant material palette of the new space along with its furniture and finishes, is inspired by the bold and strong flow of the Kahuawai waterfall that was once found along the nearby Kalauao Stream, a stream historically used by ali‘i (royalty) as a resting place. Patterns and textures throughout the space allude to the rich ahupua‘a system and its waters, the area’s agriculture, and the legend of the guardian sharks of the nearby Pu‘uloa (Pearl Harbor). In the lobby, the wood slat ceiling is inspired by the movement of a waterfall with slats cascading to the floor and creating a backdrop for the service pods, and flows from the atrium’s new glass wall that was built to provide acoustic separation between the first and second floors. Variations in the slat spacing are inspired by the ripple effect, rippling out from the bank’s logo, and service pods featuring back-lit artwork set against a counter of coral and zebra wood represent the flow of water.

Outside, a custom decorative metal panel wraps a portion of the building, celebrating the guardian sharks of Pu‘uloa while providing a visual opportunity for the bank’s logo on the makai facade.

The branch also features artwork by local artists - a 20’ tall art wall at the entrance tells the story of the ahupua‘a and a custom hanging light feature represents the waters of the Kahuawai waterfall flowing into the nearby lo‘i, the scale of both being such that they can be experienced from the first and second floors, and from inside and outside.","17109","","","","","","","","","","Interior Renovations of Floor 1 and Floor 2","","","18437","","","","","","","","1730156264636x736344256571418200","","","","","","","","","","Retail/Malls/Shopping Centers","","","","Dec 30, 2024 9:41 am","Dec 30, 2024 9:41 am","1735569695426x623912418079957500","","admin_user_arch-dash_test",""
"","","","","","","","","","","","IIDA Ho'ohuli Award 2023","","","","","","","","","","","","","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","1730082692723x377299236265733900","","","","","","","","","","","","","","","","","","","","Waikiki, Oahu","1730082692723x377299236265733900","","First Hawaiian Bank Waikiki Renovation","","","","","","","","","","","","","","","","","","","","","100words
The First Hawaiian Bank Lewers 5,061-square foot location, at 2181 Kalākaua Avenue, is just steps from FHB’s previous Waikīkī location. The branch features an open, contemporary design inspired by muliwai, the delta where the stream meets the sea, a nod to Waikīkī’s naturally rich and abundant past. Just as the muliwai produced and nurtured a rich productive ecosystem for sustainable living, 

500-1000words","20121","","","","","","","","","","","","","5061","","","","","","","","1730155554352x145521819847869820","","","","","","","","","","Retail/Malls/Shopping Centers","","","","Dec 30, 2024 10:05 am","Dec 30, 2024 10:05 am","1735571157587x128646488275897090","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","1732726177836x387705384922748100","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Waikiki, Oahu","","","First Lady of Waikiki, The Moana Surfrider","","","","","","","","","","","","","","","","","","","","","","23125","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hotel/Timeshare Resort","","","","Dec 30, 2024 10:14 am","Dec 30, 2024 10:14 am","1735571689267x819962535345772700","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","1730082692724x317828471061490500","1732726177830x756414992531415800","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","1730082692727x661353930412657000","","","","","","1730155554351x894334012471199000","","","","","","","","","","","","","","91-560 Kapolei Kai Street, Kapolei, HI 96707.","1730082692727x661353930412657000","","FOUNDATIONS HAWAII OFFICE WAREHOUSE","","","","","","","","","","","","","","","","The project scope involves, design and documentation for a 18,000 square foot concrete tilt up construction single story building located at 91-560 Kapolei Kai Street, Kapolei, HI 96707.

WCITARCHITECTURE will prepare Architectural and Interior Design documentation and coordinate professional engineering drawings, scope of work as defined in each engineering proposal attached into one construction set and one permit set. 
For the Interior Office Area Design services WCITARCHITECTURE will provide:
Design of new built-ins.
Selection and coordination of MEP items. 
Selection and coordination of acoustic elements.
New finishes.
New window treatments.
New furnishings, fixtures and equipment (FF&E).","","","","","","21108","","","","","","","","","","","","","22664","","","","","","","","1730155554351x894334012471199000","","","","","","","","","","Offices , Warehouses","","","","Dec 30, 2024 10:05 am","Dec 30, 2024 10:05 am","1735571157562x595493977555431000","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","1730039943222x720852572887955100","","","","","","","","","","","","","","","","","","","","3850 WAILEA ALANUI DRIVE WAILEA, HI 96753","1730156264638x822999928689301900","","Grand Wailea Resort Nobu Restaurant","","","","","","","","","","","","","","","","","","","","","","23130","","","","","","","","","","","","","","","","","","","","","1734971967735x707005621864573700","","","","","","","","","","Hotel/Timeshare Resort","","","","Dec 30, 2024 10:14 am","Dec 30, 2024 10:14 am","1735571689277x335362960040492350","","admin_user_arch-dash_test",""
"","","1730082692723x177037860984538880","","","","","","","","","AIA Design Award 2010
Kukulu Hale Award 2014","","","","","","1734967668402x295575653432515600","","","","LEED Silver 2015","1730156428452x122140387987097700","","","","1728659653678x113956400766583870","","","Jan 1, 2014 12:00 am","","","","","","","","","","","","","20000000","","","","","","","","","","1734980384122x573561748979267700","","","","","","","","","","","","","","","","","1730082692720x656156783827501600","","","Hilo, Hawaiʻi
1960 EAST-WEST ROAD, BIOMEDICAL SCIENCE 
HONOLULU, HI 96822","1730156264642x352634348487345100","","HaleʻŌlelo UH Hilo Ka Haka ʻUla o Keʻelikōlani College of Hawaiian Language","","","","","","","","","","","1730156264642x352634348487345100","","","","","","","","","","100words
Hale‘Ōlelo is a 36,000 square-foot classroom facility on the University of Hawai‘i Hilo campus. The programming for the building is organized spatially into two wings – a faculty wing and a student wing – and connected by a covered ceremonial plaza at the entry level called the Piko. Ka Haka ‘Ula O Ke‘elikōlani, was named in honor of Princess Ruth Ke‘elikōlani Keanolani, the 19th century high chiefess known as a strong advocate of the Hawaiian language and a defender of culture and tradition.
500-1000words
It is paramount that all unique languages of the world, bound to their own distinctive cultures, survive to participate in the world. The Hawaiian language in all its registers of behavior, whether through mo‘olelo (story), paio kālaimana‘o (debate), mele (song), or kama‘ilio (everyday conversation), maintains that distinctive Hawaiian wellbeing in life. The College of Hawaiian Language therefore carries a heavy kuleana (responsibility) to perpetuate the language and to cultivate students of its culture; their new modern home of steel, glass, and concrete give them a permanent home from which to unite their many programs under one hale.

Established in 1997, the University of Hawaii at Hilo’s College of Hawaiian Language, Ka Haka ‘Ula O Ke‘elikōlani, was named in honor of Princess Ruth Keanolani Kanāhoahoa Ke‘elikōlani, the 19th century high chiefess known as a strong advocate of the Hawaiian language and a defender of culture and tradition.

It is this Historical and Cultural context that laid the basis for the design of Hale‘ōlelo, a brand new facility for Ka Haka ‘Ula O Ke‘elikōlani. These references are then translated into the space, form and functional aspects of the building. The project, a 37,000 square foot, LEED Certified Silver two-story structure, was led by SSFM, and begun in 2006 by Kauahikaua & Chun; difficulties in late 2009 led to the substitution of WCIT Architecture, led by Rob Iopa (a Hilo native), to complete the design and produce complete construction documents and specifications in time for the 2010 State Legislative session.

Not only has Hale‘ōlelo become a cultural and architectural landmark in Hilo, but the College’s mission resonates in its built form. Some of the significant references utilized are listed below and are illustrated within the accompanying photos and drawings.

Maunakea Roof Forms: The Auditorium roof rises from the tree line announcing the College. One of the many kaona of the bold, hale-like roof form is a reference to the tall peaks of Maunakea beyond. Maunaloa, Kīlauea Roof Forms: The low rolling roof forms flanking the Auditorium roof represent the broad forms of Maunaloa and the still-active volcano Kīlauea.

Ka Waha: A large bay window at the Auditorium symbolizes Ka Waha (mouth), from which knowledge is shared to the UHH main campus and Hilo town.

Ka Pepeiao: Tall clerestories at the side of the Auditorium represent Ka Pepeiao (ears), from which knowledge is received.

Ma Uka-Ma Kai: The building’s orientation reinforces the relationship between Ma Uka (mountain) and Ma Kai (ocean). It also reinforces the idea of knowledge being passed down from kūpuna (elder) to haumāna (student) and then on to the greater community. The building itself becomes the Piko (center) to facilitate this passing of knowledge.

Pāhoehoe: The gentle sloping Sculptural Garden honors the 1881 lava flow of Maunaloa which once threatened Hilo town. The red paving at the foot of the garden represents Princess Ruth’s red scarf, which she used to stop the lava flow. From the ma uka corner of the site, one can see the “flow” of the rooflines travelling towards Hilo town.

Kīpuka: Green open spaces in and around the building represents a kīpuka, or vegetation that grows from the cooled lava, symbolizing new growth in life and knowledge.

Ka Piko: At the center of the building, a skylight is located above the Ceremonial Plaza. It sits at the axis of significant geological references, and opens up to the sky to symbolize a spiritual connection to the heavens.

Pā: Basalt stones excavated from the site are repurposed to define a large open green space for outdoor performances and activities.

Ka Hale‘ōlelo: Another kaona of the building’s high roof line honors the traditional thatched hale of Princess Ruth Ke‘elikōlani at Hulihe‘e Palace, Hale‘ōlelo, from which Ka Haka ‘Ula’s new building receives its name. The inside of the lumi pāhiahia (performing arts space) is filled with multiple meanings. The main beams represent the o‘a (traditional wood rafter framework); the wood slat ceiling, the pili (grass) of The Princess’s hale; the deep blue background, the night sky.

Ka Haka: The suspended “chandelier” in Ka Hale‘ōlelo has several purposes and meanings. The floating, moving action of the Haka represents the various haka, or levels of achievement in the College of Hawaiian Language and its curricula. The rack itself is made of 16 ‘ō‘ō sticks, representing the 16 wā of the Kumulipo, and representing new beginnings.","5347","","","","","","","","","","","","","36000","","","","","","","","1730156428452x122140387987097700","","","","","","","","","","Educational Facilities","","","","Dec 30, 2024 9:38 am","Jan 20, 2025 6:32 pm","1735569491408x477887613208116600","","admin_user_arch-dash_test",""
"","","","","","","","","","","","Waikiki Improvement Association Ho'owehiwehi Award 2022","","","","","","","","","","AIA Design Award","","","","","1728659653678x113956400766583870","","","Jan 1, 2022 12:00 am","","","","","","","","","","","","","","","","","","","","","","","1730156561454x554511758673992240","","","","","","","","","","","","","","","","","","","","Waikīkī, O‘ahu","1730156561454x554511758673992240","","Halekūlani Hotel Waikīkī","","453","","","","","","","","","","","","","","","","","","","100words
In order to preserve Halekūlani’s legacy as the hotel heads into its second century, the restoration has been both meticulous and wide-ranging, encompassing the hotel’s physical infrastructure and public spaces, guest rooms and suites. The program included a revitalization of Halekūlani’s iconic gatehouse, porte-cochere, and a double-pitched hip roof designed by famed Hawai‘i architect C.W. Dickey.

500-1000words","19139","","","","","","","","","","","","","172140","","","","","","","","","","","","","","","","","","Hotel/Timeshare Resort","","","","Dec 30, 2024 10:01 am","Dec 30, 2024 10:01 am","1735570869878x647769818693132000","","admin_user_arch-dash_test",""
"","","","","","","","","","","","Historic Hawaii Foundation Preservation Honor Award 2015","","","","","","","","","","","","","","","1728659653678x113956400766583870","","","Jan 1, 2013 12:00 am","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kāneʻohe, Oʻahu","","","Hale La`akea and Hale No`eau Windward Community College","","","","","","","","","","","","","","","","","","","","","100words
Both the Hale Manaleo and Hale Na‘auao were designed by Edwin Pettit as hospital wards. As part of the college campus, the buildings were being used as a classroom building and as a library. Both had been neglected over the years and undergone several modifications that either removed or concealed historic material.
500-1000words","11117","","","","","","","","","","","","","20000","","","","","","","","","","","","","","","","","","Educational Facilities","","","","Dec 30, 2024 9:38 am","Dec 30, 2024 9:38 am","1735569491615x452560246751416700","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Waipahu, Oʻahu","","","HART Maintenance & Storage Facility DB Development","","","","","","","","","","","","","","","","","","","","","100words
The Design-Build Team was responsible for completing the design and constructing all the site work, tracks and buildings. The campus is made up of four buildings: Operations & Servicing Building, Maintenance Building, Train Wash Facility, Wheel Truing Facility.

500-1000words","16106","","","","","","","","","","","43 acres","1873080","140000","","","","","","","","","","","","","","","","","","Government Facility","","","","Dec 30, 2024 9:38 am","Dec 30, 2024 9:38 am","1735569491852x179860051479155070","","admin_user_arch-dash_test",""
